id	bank	candidate	polarity	tier	selectivity	mean_abs_cosine	layer
T8318	UWS	L01_SV05	negative	selective_top100	0.667	0.0059	1
T7408	UWS	L10_SV08	negative	broad_top15	0.071	0.0510	10
T9203	GSS	L14_SV52	negative	selective_top100	0.516	0.0109	14
T0456	UWS	L02_SV18	negative	selective_top100	0.735	0.0141	2
T1038	GSS	L06_SV01	negative	broad_top15	0.045	0.0668	6
T7262	GSS	L19_SV11	positive	selective_top100	0.600	0.0016	19
T5334	GSS	L04_SV02	negative	broad_top15	0.039	0.0670	4
T8282	GSS	L07_SV42	negative	mid_random	0.277	0.0207	7
T9930	UWS	L18_SV35	negative	selective_top100	0.673	0.0077	18
T8391	GSS	L08_SV44	positive	selective_top100	0.554	0.0192	8
T3267	GSS	L02_SV03	positive	broad_top15	0.200	0.0540	2
T4541	GSS	L10_SV60	positive	selective_top100	0.536	0.0176	10
T7411	GSS	L14_SV60	negative	selective_top100	0.608	0.0092	14
T8325	UWS	L18_SV39	positive	selective_top100	0.656	0.0052	18
T8737	UWS	L06_SV45	positive	selective_top100	0.645	0.0178	6
T7832	UWS	L21_SV60	negative	mid_random	0.302	0.0086	21
T8319	UWS	L11_SV10	positive	broad_top15	0.061	0.0624	11
T4057	GSS	L19_SV24	negative	selective_top100	0.696	0.0020	19
T8572	GSS	L13_SV55	positive	mid_random	0.272	0.0135	13
T4253	UWS	L12_SV59	negative	selective_top100	0.645	0.0144	12
T9167	GSS	L09_SV07	negative	broad_top15	0.201	0.0597	9
T3319	UWS	L10_SV39	negative	selective_top100	0.634	0.0126	10
T7332	UWS	L12_SV01	negative	selective_top100	0.764	0.0124	12
T2246	GSS	L04_SV52	negative	selective_top100	0.703	0.0329	4
T6826	UWS	L01_SV12	positive	selective_top100	0.642	0.0084	1
T1992	GSS	L03_SV62	positive	selective_top100	0.623	0.0210	3
T6428	GSS	L14_SV64	positive	selective_top100	0.598	0.0148	14
T7243	GSS	L19_SV10	positive	selective_top100	0.684	0.0017	19
T5177	GSS	L12_SV45	positive	selective_top100	0.584	0.0143	12
T1188	GSS	L20_SV20	negative	selective_top100	0.624	0.0012	20
T3942	UWS	L10_SV54	negative	mid_random	0.587	0.0133	10
T7017	UWS	L21_SV24	positive	selective_top100	0.893	0.0058	21
T1198	UWS	L02_SV35	negative	selective_top100	0.656	0.0185	2
T3484	GSS	L09_SV55	negative	selective_top100	0.640	0.0180	9
T4960	GSS	L06_SV16	negative	selective_top100	0.622	0.0238	6
T2004	UWS	L12_SV10	positive	broad_top15	0.061	0.0557	12
T2530	GSS	L08_SV51	positive	mid_random	0.394	0.0240	8
T5999	GSS	L09_SV51	positive	selective_top100	0.624	0.0186	9
T2342	UWS	L17_SV35	negative	selective_top100	0.629	0.0098	17
T4146	GSS	L04_SV22	negative	selective_top100	0.626	0.0131	4
T2248	GSS	L22_SV30	negative	selective_top100	0.548	0.0014	22
T7663	GSS	L11_SV51	negative	selective_top100	0.564	0.0210	11
T3597	UWS	L12_SV50	positive	selective_top100	0.694	0.0106	12
T1542	UWS	L09_SV06	positive	broad_top15	0.073	0.0543	9
T6525	UWS	L15_SV04	positive	selective_top100	0.657	0.0070	15
T7983	GSS	L01_SV61	negative	selective_top100	0.705	0.0171	1
T2667	UWS	L11_SV59	negative	selective_top100	0.657	0.0152	11
T3665	UWS	L22_SV33	positive	selective_top100	0.759	0.0076	22
T2645	UWS	L08_SV03	positive	broad_top15	0.347	0.0578	8
T7070	GSS	L17_SV59	negative	mid_random	0.261	0.0062	17
T8447	UWS	L00_SV03	positive	mid_random	0.559	0.0124	0
T6616	GSS	L13_SV02	positive	broad_top15	0.073	0.0534	13
T5556	GSS	L10_SV02	positive	broad_top15	0.076	0.0590	10
T6902	GSS	L06_SV01	positive	broad_top15	0.045	0.0668	6
T3207	GSS	L12_SV51	negative	selective_top100	0.587	0.0193	12
T5842	UWS	L13_SV10	positive	broad_top15	0.064	0.0577	13
T5218	GSS	L11_SV64	positive	selective_top100	0.520	0.0211	11
T1510	UWS	L10_SV29	positive	mid_random	0.488	0.0430	10
T5995	UWS	L13_SV10	negative	broad_top15	0.064	0.0577	13
T0319	UWS	L21_SV08	negative	mid_random	0.488	0.0032	21
T5537	UWS	L18_SV63	negative	selective_top100	0.779	0.0099	18
T9077	GSS	L17_SV43	positive	mid_random	0.269	0.0047	17
T7514	UWS	L00_SV21	positive	selective_top100	0.647	0.0093	0
T7216	GSS	L12_SV02	positive	broad_top15	0.074	0.0546	12
T0296	UWS	L11_SV01	negative	selective_top100	0.762	0.0156	11
T6297	GSS	L09_SV02	positive	broad_top15	0.076	0.0671	9
T5431	GSS	L16_SV64	negative	mid_random	0.280	0.0100	16
T8477	GSS	L05_SV32	negative	selective_top100	0.543	0.0234	5
T4840	UWS	L21_SV19	positive	selective_top100	0.914	0.0043	21
T8392	GSS	L19_SV23	positive	selective_top100	0.636	0.0028	19
T1053	UWS	L05_SV03	positive	broad_top15	0.661	0.0532	5
T1848	GSS	L14_SV28	positive	selective_top100	0.575	0.0083	14
T3744	UWS	L22_SV53	negative	selective_top100	0.717	0.0079	22
T1716	GSS	L09_SV62	negative	mid_random	0.476	0.0221	9
T1377	UWS	L11_SV49	positive	mid_random	0.616	0.0199	11
T4351	UWS	L08_SV51	positive	selective_top100	0.672	0.0196	8
T4455	GSS	L05_SV57	negative	selective_top100	0.592	0.0244	5
T0648	GSS	L07_SV04	negative	broad_top15	0.074	0.0547	7
T2974	GSS	L01_SV10	negative	selective_top100	0.626	0.0184	1
T4430	GSS	L00_SV35	negative	selective_top100	0.679	0.0100	0
T2122	GSS	L07_SV01	positive	broad_top15	0.042	0.0606	7
T6918	UWS	L07_SV58	positive	selective_top100	0.722	0.0228	7
T4237	GSS	L16_SV58	negative	selective_top100	0.569	0.0055	16
T6651	GSS	L18_SV60	negative	selective_top100	0.583	0.0043	18
T2447	GSS	L05_SV18	negative	selective_top100	0.621	0.0217	5
T8791	GSS	L15_SV59	negative	selective_top100	0.636	0.0067	15
T8434	UWS	L08_SV11	positive	broad_top15	0.348	0.0541	8
T9348	GSS	L03_SV02	negative	broad_top15	0.040	0.0620	3
T8103	UWS	L10_SV01	negative	selective_top100	0.762	0.0115	10
T5358	GSS	L02_SV64	positive	selective_top100	0.555	0.0126	2
T1465	GSS	L06_SV38	negative	mid_random	0.289	0.0203	6
T4572	UWS	L01_SV37	negative	selective_top100	0.646	0.0205	1
T0942	UWS	L08_SV11	negative	broad_top15	0.348	0.0541	8
T3003	UWS	L04_SV29	negative	selective_top100	0.633	0.0208	4
T6968	UWS	L08_SV03	negative	broad_top15	0.347	0.0578	8
T1186	GSS	L11_SV45	positive	selective_top100	0.564	0.0126	11
T4406	GSS	L12_SV02	negative	broad_top15	0.074	0.0546	12
T0275	UWS	L21_SV07	negative	selective_top100	0.897	0.0025	21
T1451	GSS	L20_SV58	negative	selective_top100	0.618	0.0033	20
T4268	UWS	L20_SV31	negative	selective_top100	0.655	0.0032	20
T1372	GSS	L11_SV02	negative	broad_top15	0.082	0.0611	11
T9964	UWS	L11_SV08	negative	broad_top15	0.075	0.0531	11
T3643	GSS	L20_SV13	positive	mid_random	0.268	0.0041	20
T1091	UWS	L21_SV36	positive	selective_top100	0.855	0.0086	21
T4332	GSS	L18_SV09	negative	selective_top100	0.705	0.0026	18
T1993	GSS	L19_SV32	negative	selective_top100	0.684	0.0020	19
T7434	GSS	L20_SV22	negative	selective_top100	0.688	0.0015	20
T0189	UWS	L07_SV46	positive	selective_top100	0.677	0.0221	7
T9061	UWS	L21_SV54	negative	selective_top100	0.746	0.0059	21
T6844	GSS	L03_SV37	negative	selective_top100	0.562	0.0177	3
T4388	UWS	L18_SV05	negative	selective_top100	0.661	0.0106	18
T2117	UWS	L08_SV06	negative	selective_top100	0.627	0.0247	8
T0707	UWS	L14_SV41	negative	selective_top100	0.635	0.0140	14
T8632	UWS	L18_SV07	positive	mid_random	0.617	0.0137	18
T3906	GSS	L11_SV56	positive	selective_top100	0.665	0.0305	11
T1793	GSS	L08_SV28	negative	selective_top100	0.663	0.0204	8
T4290	UWS	L05_SV56	positive	mid_random	0.415	0.0223	5
T0825	GSS	L07_SV01	negative	broad_top15	0.042	0.0606	7
T2967	UWS	L21_SV59	positive	selective_top100	0.654	0.0043	21
T3305	UWS	L12_SV10	negative	broad_top15	0.061	0.0557	12
T5111	UWS	L04_SV02	positive	mid_random	0.594	0.0069	4
T4997	GSS	L18_SV37	negative	selective_top100	0.617	0.0034	18
T8701	GSS	L14_SV08	positive	selective_top100	0.558	0.0184	14
T3372	UWS	L22_SV35	negative	selective_top100	0.749	0.0048	22
T4750	GSS	L11_SV11	positive	selective_top100	0.584	0.0137	11
T7302	UWS	L18_SV54	negative	mid_random	0.597	0.0102	18
T8193	UWS	L08_SV14	negative	mid_random	0.446	0.0175	8
T2914	GSS	L05_SV01	negative	broad_top15	0.047	0.0625	5
T4432	UWS	L08_SV54	positive	selective_top100	0.704	0.0183	8
T5685	GSS	L03_SV60	negative	selective_top100	0.538	0.0168	3
T0297	UWS	L19_SV50	negative	selective_top100	0.670	0.0084	19
T4103	GSS	L19_SV41	positive	selective_top100	0.603	0.0067	19
T0605	GSS	L17_SV25	negative	selective_top100	0.528	0.0052	17
T0251	GSS	L10_SV07	positive	broad_top15	0.081	0.0572	10
T0302	GSS	L09_SV59	negative	selective_top100	0.763	0.0307	9
T8284	UWS	L08_SV39	positive	selective_top100	0.683	0.0161	8
T9028	UWS	L00_SV07	positive	selective_top100	0.635	0.0120	0
T3104	UWS	L09_SV60	positive	mid_random	0.278	0.0216	9
T8425	UWS	L08_SV02	positive	selective_top100	0.816	0.0094	8
T7778	UWS	L07_SV59	positive	selective_top100	0.637	0.0189	7
T4025	GSS	L13_SV56	negative	selective_top100	0.567	0.0206	13
T7324	UWS	L08_SV09	positive	selective_top100	0.626	0.0208	8
T1741	GSS	L18_SV52	positive	selective_top100	0.636	0.0028	18
T7080	UWS	L04_SV07	positive	selective_top100	0.653	0.0327	4
T8110	GSS	L06_SV20	negative	selective_top100	0.537	0.0226	6
T8944	GSS	L16_SV10	positive	selective_top100	0.667	0.0050	16
T6440	GSS	L07_SV45	negative	mid_random	0.299	0.0351	7
T8301	GSS	L13_SV02	negative	broad_top15	0.073	0.0534	13
T5042	UWS	L17_SV64	negative	selective_top100	0.647	0.0102	17
T3525	GSS	L19_SV60	negative	selective_top100	0.646	0.0078	19
T3761	GSS	L07_SV04	positive	broad_top15	0.074	0.0547	7
T5614	UWS	L21_SV37	negative	selective_top100	0.756	0.0082	21
T3254	UWS	L09_SV58	negative	selective_top100	0.754	0.0208	9
T2289	GSS	L18_SV32	negative	selective_top100	0.681	0.0045	18
T6630	GSS	L12_SV52	negative	selective_top100	0.656	0.0168	12
T5694	UWS	L11_SV51	positive	mid_random	0.561	0.0161	11
T0891	UWS	L22_SV31	positive	selective_top100	0.655	0.0027	22
T2126	GSS	L09_SV02	negative	broad_top15	0.076	0.0671	9
T1158	GSS	L15_SV29	negative	selective_top100	0.592	0.0070	15
T4187	UWS	L21_SV28	negative	selective_top100	0.753	0.0034	21
T7057	UWS	L02_SV14	positive	mid_random	0.271	0.0114	2
T2674	GSS	L08_SV56	negative	selective_top100	0.610	0.0207	8
T0907	GSS	L16_SV18	negative	mid_random	0.495	0.0131	16
T1384	GSS	L06_SV24	positive	mid_random	0.275	0.0189	6
T6240	UWS	L04_SV06	negative	broad_top15	0.062	0.0530	4
T8289	UWS	L20_SV32	positive	selective_top100	0.636	0.0030	20
T4619	GSS	L12_SV57	positive	selective_top100	0.659	0.0132	12
T9810	GSS	L05_SV43	positive	mid_random	0.363	0.0239	5
T3968	UWS	L07_SV38	positive	selective_top100	0.646	0.0199	7
T4801	GSS	L18_SV21	negative	selective_top100	0.603	0.0023	18
T0741	GSS	L02_SV15	positive	selective_top100	0.531	0.0137	2
T7527	GSS	L02_SV03	negative	broad_top15	0.200	0.0540	2
T3036	UWS	L05_SV03	negative	broad_top15	0.661	0.0532	5
T2581	UWS	L09_SV06	negative	broad_top15	0.073	0.0543	9
T4407	GSS	L15_SV50	positive	selective_top100	0.623	0.0121	15
T7304	GSS	L10_SV02	negative	broad_top15	0.076	0.0590	10
T0059	GSS	L09_SV28	positive	selective_top100	0.680	0.0166	9
T4312	UWS	L01_SV16	negative	selective_top100	0.770	0.0133	1
T5966	GSS	L12_SV60	positive	selective_top100	0.557	0.0141	12
T5389	UWS	L07_SV03	positive	broad_top15	0.467	0.0682	7
T8963	UWS	L06_SV39	positive	selective_top100	0.694	0.0210	6
T5300	GSS	L18_SV63	negative	selective_top100	0.533	0.0077	18
T4005	GSS	L21_SV38	positive	selective_top100	0.624	0.0019	21
T0564	UWS	L07_SV39	negative	selective_top100	0.687	0.0229	7
T5071	UWS	L07_SV30	positive	mid_random	0.260	0.0196	7
T3569	UWS	L06_SV03	positive	broad_top15	0.653	0.0615	6
T2997	GSS	L13_SV64	positive	mid_random	0.446	0.0180	13
T0017	UWS	L22_SV24	positive	selective_top100	0.751	0.0027	22
T5494	GSS	L22_SV64	negative	selective_top100	0.841	0.0057	22
T6252	GSS	L10_SV24	positive	mid_random	0.498	0.0179	10
T1374	GSS	L05_SV01	positive	broad_top15	0.047	0.0625	5
T7776	GSS	L18_SV61	negative	selective_top100	0.630	0.0105	18
T4569	UWS	L09_SV45	positive	selective_top100	0.641	0.0175	9
T8237	GSS	L03_SV61	positive	selective_top100	0.583	0.0192	3
T3292	UWS	L07_SV03	negative	broad_top15	0.467	0.0682	7
T4066	UWS	L10_SV10	negative	broad_top15	0.062	0.0602	10
T8269	UWS	L05_SV51	negative	selective_top100	0.650	0.0213	5
T0081	UWS	L14_SV10	positive	broad_top15	0.060	0.0531	14
T1488	UWS	L19_SV63	negative	selective_top100	0.687	0.0061	19
T4328	UWS	L19_SV32	positive	mid_random	0.281	0.0074	19
T1470	GSS	L09_SV32	negative	mid_random	0.264	0.0222	9
T2357	UWS	L09_SV10	positive	broad_top15	0.065	0.0639	9
T6545	UWS	L10_SV08	positive	broad_top15	0.071	0.0510	10
T9614	GSS	L08_SV39	positive	selective_top100	0.633	0.0182	8
T0682	GSS	L15_SV23	negative	selective_top100	0.567	0.0177	15
T6454	GSS	L10_SV40	negative	selective_top100	0.561	0.0458	10
T0368	GSS	L05_SV54	positive	selective_top100	0.705	0.0205	5
T4909	GSS	L13_SV60	negative	selective_top100	0.587	0.0110	13
T4984	GSS	L01_SV56	positive	selective_top100	0.514	0.0100	1
T3814	UWS	L16_SV02	negative	mid_random	0.600	0.0144	16
T9594	GSS	L03_SV02	positive	broad_top15	0.040	0.0620	3
T8670	UWS	L17_SV01	positive	selective_top100	0.709	0.0103	17
T2543	UWS	L18_SV43	positive	selective_top100	0.674	0.0030	18
T9774	GSS	L19_SV36	negative	selective_top100	0.625	0.0026	19
T6381	UWS	L13_SV39	positive	selective_top100	0.628	0.0081	13
T5343	UWS	L00_SV14	positive	selective_top100	0.672	0.0064	0
T8096	UWS	L17_SV10	positive	selective_top100	0.634	0.0054	17
T2448	GSS	L07_SV63	negative	selective_top100	0.760	0.0200	7
T4655	UWS	L10_SV49	negative	selective_top100	0.657	0.0171	10
T2371	GSS	L16_SV62	negative	mid_random	0.386	0.0069	16
T0717	UWS	L17_SV53	negative	selective_top100	0.652	0.0081	17
T8404	GSS	L09_SV07	positive	broad_top15	0.201	0.0597	9
T7032	UWS	L14_SV10	negative	broad_top15	0.060	0.0531	14
T2282	UWS	L18_SV06	positive	selective_top100	0.655	0.0094	18
T8581	UWS	L09_SV49	positive	selective_top100	0.730	0.0173	9
T8263	UWS	L00_SV41	negative	mid_random	0.594	0.0107	0
T9313	UWS	L01_SV18	negative	selective_top100	0.722	0.0124	1
T0263	GSS	L12_SV24	positive	selective_top100	0.611	0.0143	12
T9569	UWS	L20_SV10	positive	selective_top100	0.714	0.0033	20
T3767	UWS	L16_SV44	positive	mid_random	0.364	0.0198	16
T1394	UWS	L11_SV30	positive	selective_top100	0.656	0.0203	11
T0510	UWS	L14_SV01	positive	selective_top100	0.716	0.0108	14
T0685	GSS	L12_SV11	positive	selective_top100	0.591	0.0108	12
T2180	GSS	L04_SV02	positive	broad_top15	0.039	0.0670	4
T5909	UWS	L21_SV42	negative	selective_top100	0.677	0.0060	21
T1718	UWS	L12_SV45	negative	mid_random	0.386	0.0119	12
T6170	UWS	L22_SV62	negative	selective_top100	0.703	0.0069	22
T7395	GSS	L11_SV34	positive	selective_top100	0.594	0.0230	11
T9150	GSS	L10_SV11	positive	selective_top100	0.583	0.0141	10
T0831	UWS	L08_SV55	positive	selective_top100	0.679	0.0161	8
T0308	UWS	L09_SV01	negative	selective_top100	0.751	0.0171	9
T8707	UWS	L09_SV27	positive	mid_random	0.599	0.0315	9
T4006	GSS	L07_SV08	positive	mid_random	0.295	0.0520	7
T8016	UWS	L13_SV01	positive	selective_top100	0.717	0.0138	13
T4321	GSS	L08_SV02	positive	broad_top15	0.070	0.0585	8
T0054	GSS	L03_SV47	negative	selective_top100	0.628	0.0197	3
T7486	UWS	L21_SV40	positive	selective_top100	0.676	0.0036	21
T1148	GSS	L08_SV53	positive	mid_random	0.411	0.0204	8
T8240	UWS	L06_SV52	positive	selective_top100	0.696	0.0209	6
T8768	UWS	L20_SV29	positive	selective_top100	0.729	0.0093	20
T1506	GSS	L05_SV26	negative	selective_top100	0.612	0.0214	5
T8617	UWS	L19_SV44	positive	selective_top100	0.649	0.0032	19
T1082	GSS	L18_SV64	negative	selective_top100	0.693	0.0031	18
