subject,relation,ablate_cond,ablate_band,ablate_positions,restore_pos,restore_pos_token,restore_pos_is_subject,restore_layer,span_logp_ablated,recovery_frac,span_logp_clean,span_logp_cond,delta_span_logp,span_lp_per_token,content_logp_cond,delta_content_logp,rank_content_under_cond,content_top1_changed,content_top1_cond,kl_first_token
Nelson Mandela,birth_city,name_lens,6-8,subject_all,4, was,0,1,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,5, born,0,1,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,6, in,0,1,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,7, the,0,1,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,8, city,0,1,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,9, of,0,1,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,0,<|startoftext|>,0,2,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,1,Nel,1,2,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,2,son,1,2,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,3, Mandela,1,2,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,4, was,0,2,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,5, born,0,2,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,6, in,0,2,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,7, the,0,2,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,8, city,0,2,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,9, of,0,2,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,0,<|startoftext|>,0,3,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,1,Nel,1,3,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,2,son,1,3,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,3, Mandela,1,3,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,4, was,0,3,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,5, born,0,3,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,6, in,0,3,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,7, the,0,3,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,8, city,0,3,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,9, of,0,3,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,0,<|startoftext|>,0,4,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,1,Nel,1,4,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,2,son,1,4,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,3, Mandela,1,4,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,4, was,0,4,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,5, born,0,4,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,6, in,0,4,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,7, the,0,4,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,8, city,0,4,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,9, of,0,4,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,0,<|startoftext|>,0,5,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,1,Nel,1,5,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,2,son,1,5,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,3, Mandela,1,5,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,4, was,0,5,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,5, born,0,5,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,6, in,0,5,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,7, the,0,5,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,8, city,0,5,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,9, of,0,5,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,0,<|startoftext|>,0,6,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,1,Nel,1,6,-6.9688,0.7758,-2.8388,-3.7649,-0.926,-2.022|-1.237|-0.437|-0.068,-2.022,-0.4432,1,0, Johannesburg,0.1084
Nelson Mandela,birth_city,name_lens,6-8,subject_all,2,son,1,6,-6.9688,0.0189,-2.8388,-6.8908,-4.052,-3.137|-1.290|-2.252|-0.212,-3.1366,-1.5578,2,1, Cape,0.4215
Nelson Mandela,birth_city,name_lens,6-8,subject_all,3, Mandela,1,6,-6.9688,0.0414,-2.8388,-6.7979,-3.9591,-2.866|-1.214|-2.478|-0.240,-2.8662,-1.2874,1,0, Johannesburg,0.3949
Nelson Mandela,birth_city,name_lens,6-8,subject_all,4, was,0,6,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,5, born,0,6,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,6, in,0,6,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,7, the,0,6,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,8, city,0,6,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,9, of,0,6,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,0,<|startoftext|>,0,7,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,1,Nel,1,7,-6.9688,0.7742,-2.8388,-3.7714,-0.9326,-1.897|-1.280|-0.517|-0.076,-1.8972,-0.3184,1,0, Johannesburg,0.1
Nelson Mandela,birth_city,name_lens,6-8,subject_all,2,son,1,7,-6.9688,0.0535,-2.8388,-6.7479,-3.9091,-3.124|-1.248|-2.152|-0.224,-3.124,-1.5452,2,1, Cape,0.4132
Nelson Mandela,birth_city,name_lens,6-8,subject_all,3, Mandela,1,7,-6.9688,0.0974,-2.8388,-6.5666,-3.7277,-2.729|-1.261|-2.396|-0.180,-2.7291,-1.1503,1,0, Johannesburg,0.3407
Nelson Mandela,birth_city,name_lens,6-8,subject_all,4, was,0,7,-6.9688,0.2955,-2.8388,-5.7483,-2.9095,-2.913|-1.223|-1.427|-0.186,-2.9128,-1.334,1,0, Johannesburg,0.3432
Nelson Mandela,birth_city,name_lens,6-8,subject_all,5, born,0,7,-6.9688,0.0105,-2.8388,-6.9255,-4.0867,-3.142|-1.258|-2.317|-0.209,-3.1421,-1.5633,2,1, Cape,0.4146
Nelson Mandela,birth_city,name_lens,6-8,subject_all,6, in,0,7,-6.9688,0.016,-2.8388,-6.9029,-4.0641,-3.069|-1.240|-2.370|-0.223,-3.0694,-1.4906,1,0, Johannesburg,0.4386
Nelson Mandela,birth_city,name_lens,6-8,subject_all,7, the,0,7,-6.9688,0.0088,-2.8388,-6.9325,-4.0937,-3.089|-1.239|-2.376|-0.228,-3.0888,-1.51,1,1, Cape,0.4385
Nelson Mandela,birth_city,name_lens,6-8,subject_all,8, city,0,7,-6.9688,0.0646,-2.8388,-6.7019,-3.8631,-3.066|-1.277|-2.146|-0.213,-3.0662,-1.4874,2,1, Cape,0.4068
Nelson Mandela,birth_city,name_lens,6-8,subject_all,9, of,0,7,-6.9688,0.0014,-2.8388,-6.9631,-4.1243,-3.028|-1.293|-2.420|-0.222,-3.0279,-1.4491,1,1, Cape,0.3912
Nelson Mandela,birth_city,name_lens,6-8,subject_all,0,<|startoftext|>,0,8,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,1,Nel,1,8,-6.9688,0.9122,-2.8388,-3.2015,-0.3627,-1.752|-0.987|-0.422|-0.041,-1.7518,-0.173,1,0, Johannesburg,0.0863
Nelson Mandela,birth_city,name_lens,6-8,subject_all,2,son,1,8,-6.9688,0.3327,-2.8388,-5.5948,-2.756,-2.994|-1.253|-1.193|-0.156,-2.994,-1.4152,2,1, Cape,0.3647
Nelson Mandela,birth_city,name_lens,6-8,subject_all,3, Mandela,1,8,-6.9688,0.2167,-2.8388,-6.0737,-3.2349,-2.775|-1.162|-1.989|-0.148,-2.7745,-1.1957,1,0, Johannesburg,0.2309
Nelson Mandela,birth_city,name_lens,6-8,subject_all,4, was,0,8,-6.9688,0.2314,-2.8388,-6.013,-3.1742,-3.038|-1.212|-1.581|-0.182,-3.0378,-1.459,2,1, Cape,0.3909
Nelson Mandela,birth_city,name_lens,6-8,subject_all,5, born,0,8,-6.9688,0.0674,-2.8388,-6.6904,-3.8516,-2.977|-1.295|-2.216|-0.202,-2.9773,-1.3986,1,1, Cape,0.3769
Nelson Mandela,birth_city,name_lens,6-8,subject_all,6, in,0,8,-6.9688,0.0465,-2.8388,-6.7768,-3.938,-3.130|-1.227|-2.196|-0.223,-3.1298,-1.5511,1,1, Cape,0.4429
Nelson Mandela,birth_city,name_lens,6-8,subject_all,7, the,0,8,-6.9688,0.0679,-2.8388,-6.6884,-3.8496,-3.017|-1.256|-2.203|-0.212,-3.0174,-1.4387,1,0, Johannesburg,0.4275
Nelson Mandela,birth_city,name_lens,6-8,subject_all,8, city,0,8,-6.9688,0.0698,-2.8388,-6.6806,-3.8418,-2.978|-1.267|-2.223|-0.214,-2.9777,-1.3989,2,1, Cape,0.376
Nelson Mandela,birth_city,name_lens,6-8,subject_all,9, of,0,8,-6.9688,0.0145,-2.8388,-6.9088,-4.07,-2.991|-1.256|-2.432|-0.230,-2.9912,-1.4124,1,0, Johannesburg,0.36
Nelson Mandela,birth_city,name_lens,6-8,subject_all,0,<|startoftext|>,0,9,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,1,Nel,1,9,-6.9688,0.9058,-2.8388,-3.2277,-0.3889,-1.760|-1.024|-0.404|-0.041,-1.7596,-0.1808,1,0, Johannesburg,0.0827
Nelson Mandela,birth_city,name_lens,6-8,subject_all,2,son,1,9,-6.9688,0.2221,-2.8388,-6.0515,-3.2127,-3.117|-1.253|-1.489|-0.192,-3.1168,-1.538,2,1, Cape,0.4178
Nelson Mandela,birth_city,name_lens,6-8,subject_all,3, Mandela,1,9,-6.9688,0.1524,-2.8388,-6.3396,-3.5008,-2.902|-1.220|-2.032|-0.185,-2.9022,-1.3234,1,0, Johannesburg,0.2668
Nelson Mandela,birth_city,name_lens,6-8,subject_all,4, was,0,9,-6.9688,0.1521,-2.8388,-6.3406,-3.5018,-3.115|-1.220|-1.833|-0.173,-3.115,-1.5362,2,1, Cape,0.3902
Nelson Mandela,birth_city,name_lens,6-8,subject_all,5, born,0,9,-6.9688,0.0959,-2.8388,-6.5729,-3.7341,-3.005|-1.303|-2.060|-0.205,-3.0049,-1.4261,2,1, Cape,0.3729
Nelson Mandela,birth_city,name_lens,6-8,subject_all,6, in,0,9,-6.9688,-0.0089,-2.8388,-7.0055,-4.1667,-3.110|-1.268|-2.414|-0.214,-3.1098,-1.531,2,1, Cape,0.4096
Nelson Mandela,birth_city,name_lens,6-8,subject_all,7, the,0,9,-6.9688,0.0252,-2.8388,-6.8649,-4.026,-3.034|-1.232|-2.371|-0.228,-3.0339,-1.4551,1,0, Johannesburg,0.4283
Nelson Mandela,birth_city,name_lens,6-8,subject_all,8, city,0,9,-6.9688,0.1145,-2.8388,-6.4961,-3.6572,-2.901|-1.224|-2.165|-0.207,-2.901,-1.3222,2,1, Cape,0.3656
Nelson Mandela,birth_city,name_lens,6-8,subject_all,9, of,0,9,-6.9688,0.0667,-2.8388,-6.6933,-3.8545,-2.802|-1.246|-2.421|-0.223,-2.8024,-1.2236,1,0, Johannesburg,0.3033
Nelson Mandela,birth_city,name_lens,6-8,subject_all,0,<|startoftext|>,0,10,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,1,Nel,1,10,-6.9688,0.8569,-2.8388,-3.4297,-0.5909,-1.887|-1.035|-0.462|-0.046,-1.8866,-0.3078,1,0, Johannesburg,0.0887
Nelson Mandela,birth_city,name_lens,6-8,subject_all,2,son,1,10,-6.9688,0.348,-2.8388,-5.5316,-2.6928,-2.997|-1.264|-1.133|-0.138,-2.9973,-1.4185,2,1, Cape,0.3663
Nelson Mandela,birth_city,name_lens,6-8,subject_all,3, Mandela,1,10,-6.9688,0.164,-2.8388,-6.2915,-3.4527,-2.912|-1.225|-1.976|-0.178,-2.9115,-1.3327,1,0, Johannesburg,0.2778
Nelson Mandela,birth_city,name_lens,6-8,subject_all,4, was,0,10,-6.9688,0.2803,-2.8388,-5.8113,-2.9725,-3.041|-1.199|-1.402|-0.169,-3.0411,-1.4623,2,1, Cape,0.3573
Nelson Mandela,birth_city,name_lens,6-8,subject_all,5, born,0,10,-6.9688,0.1062,-2.8388,-6.5301,-3.6913,-3.049|-1.262|-2.025|-0.194,-3.0487,-1.4699,2,1, Cape,0.3713
Nelson Mandela,birth_city,name_lens,6-8,subject_all,6, in,0,10,-6.9688,-0.0027,-2.8388,-6.9801,-4.1413,-3.135|-1.250|-2.372|-0.222,-3.1353,-1.5565,2,1, Cape,0.4092
Nelson Mandela,birth_city,name_lens,6-8,subject_all,7, the,0,10,-6.9688,0.0212,-2.8388,-6.8812,-4.0424,-3.035|-1.257|-2.360|-0.229,-3.0353,-1.4565,1,0, Johannesburg,0.4247
Nelson Mandela,birth_city,name_lens,6-8,subject_all,8, city,0,10,-6.9688,0.1258,-2.8388,-6.4495,-3.6106,-2.902|-1.225|-2.110|-0.213,-2.9019,-1.3231,2,1, Cape,0.3483
Nelson Mandela,birth_city,name_lens,6-8,subject_all,9, of,0,10,-6.9688,0.1644,-2.8388,-6.29,-3.4512,-2.403|-1.249|-2.424|-0.215,-2.403,-0.8242,1,0, Johannesburg,0.2007
Nelson Mandela,birth_city,name_lens,6-8,subject_all,0,<|startoftext|>,0,11,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,1,Nel,1,11,-6.9688,0.843,-2.8388,-3.4871,-0.6482,-1.887|-1.066|-0.483|-0.051,-1.8871,-0.3083,1,0, Johannesburg,0.0895
Nelson Mandela,birth_city,name_lens,6-8,subject_all,2,son,1,11,-6.9688,0.3475,-2.8388,-5.5336,-2.6948,-2.984|-1.253|-1.157|-0.140,-2.9842,-1.4054,1,1, Cape,0.361
Nelson Mandela,birth_city,name_lens,6-8,subject_all,3, Mandela,1,11,-6.9688,0.1449,-2.8388,-6.3704,-3.5316,-2.970|-1.198|-2.017|-0.185,-2.9697,-1.3909,1,0, Johannesburg,0.3001
Nelson Mandela,birth_city,name_lens,6-8,subject_all,4, was,0,11,-6.9688,0.5095,-2.8388,-4.8645,-2.0257,-2.592|-1.209|-0.951|-0.113,-2.5919,-1.0131,1,0, Johannesburg,0.2373
Nelson Mandela,birth_city,name_lens,6-8,subject_all,5, born,0,11,-6.9688,0.119,-2.8388,-6.4773,-3.6385,-2.975|-1.282|-2.025|-0.195,-2.9748,-1.396,2,1, Cape,0.3625
Nelson Mandela,birth_city,name_lens,6-8,subject_all,6, in,0,11,-6.9688,-0.0134,-2.8388,-7.024,-4.1852,-3.161|-1.289|-2.365|-0.209,-3.1607,-1.5819,2,1, Cape,0.4166
Nelson Mandela,birth_city,name_lens,6-8,subject_all,7, the,0,11,-6.9688,0.0466,-2.8388,-6.7765,-3.9377,-2.985|-1.259|-2.317|-0.215,-2.9848,-1.406,1,0, Johannesburg,0.4158
Nelson Mandela,birth_city,name_lens,6-8,subject_all,8, city,0,11,-6.9688,0.1097,-2.8388,-6.5158,-3.677,-2.971|-1.221|-2.115|-0.209,-2.9708,-1.3921,2,1, Cape,0.3644
Nelson Mandela,birth_city,name_lens,6-8,subject_all,9, of,0,11,-6.9688,0.1735,-2.8388,-6.2524,-3.4136,-2.356|-1.253|-2.422|-0.222,-2.3556,-0.7768,1,0, Johannesburg,0.1936
Nelson Mandela,birth_city,name_lens,6-8,subject_all,0,<|startoftext|>,0,12,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,1,Nel,1,12,-6.9688,0.8516,-2.8388,-3.4516,-0.6128,-1.873|-1.050|-0.471|-0.057,-1.8731,-0.2943,1,0, Johannesburg,0.0928
Nelson Mandela,birth_city,name_lens,6-8,subject_all,2,son,1,12,-6.9688,0.2657,-2.8388,-5.8714,-3.0326,-3.003|-1.250|-1.447|-0.171,-3.0034,-1.4246,2,1, Cape,0.3659
