run,subject,position_mode,band,layer,position,position_token,k,name_dim,name_explicitly_chosen,name_in_ablation,ablation_on_name,null_mean,null_sd,excess_over_null_sd,top3_overlapping_removed
jspace_v3,Ludwig van Beethoven,subject_all,6-20,7,5, Beethoven,10,1,0,0.3915,0.0391,0.3011,0.039,2.3,entra:0.42; nut:0.41; té:0.37
jspace_v3,Ludwig van Beethoven,subject_all,6-20,8,5, Beethoven,10,1,0,0.3505,0.035,0.2891,0.0431,1.4, possessed:0.46;  Aust:0.41;  adopted:0.40
jspace_v3,Ludwig van Beethoven,subject_all,6-20,9,5, Beethoven,10,1,0,0.2292,0.0229,0.2563,0.0504,-0.5,"）

:0.35; tai:0.35; entra:0.33"
jspace_v3,Ludwig van Beethoven,subject_all,6-20,10,5, Beethoven,10,1,0,0.3299,0.033,0.217,0.0625,1.8, Adolf:0.43;  Alexander:0.43;  possessed:0.38
jspace_v3,Ludwig van Beethoven,subject_all,6-20,11,5, Beethoven,10,1,0,0.2455,0.0246,0.1971,0.0563,0.9,tai:0.32; entra:0.29; riz:0.28
jspace_v3,Ludwig van Beethoven,subject_all,6-20,12,5, Beethoven,10,1,0,0.4216,0.0422,0.232,0.0442,4.3, philosopher:0.48;  baptized:0.45;  master's:0.31
jspace_v3,Ludwig van Beethoven,subject_all,6-20,13,5, Beethoven,10,1,0,0.3452,0.0345,0.1615,0.0381,4.8,"tai:0.24; nut:0.20; ?),:0.20"
jspace_v3,Ludwig van Beethoven,subject_all,6-20,14,5, Beethoven,10,1,0,0.4128,0.0413,0.1863,0.0637,3.6, Christophe:0.46;  Wolfgang:0.44;  Bass:0.43
jspace_v3,Ludwig van Beethoven,subject_all,6-20,15,5, Beethoven,10,1,0,0.2289,0.0229,0.1587,0.057,1.2,-\:0.15; lever:0.14; nut:0.13
jspace_v3,Ludwig van Beethoven,subject_all,6-20,16,5, Beethoven,10,1,0,0.1796,0.018,0.1513,0.0555,0.5, pioneers:0.23;  employees:0.18;  automotive:0.12
jspace_v3,Ludwig van Beethoven,subject_all,6-20,17,5, Beethoven,10,1,0,0.101,0.0101,0.1608,0.0662,-0.9,nut:0.09; naj:0.09; igl:0.08
jspace_v3,Ludwig van Beethoven,subject_all,6-20,18,5, Beethoven,10,1,0,0.3393,0.0339,0.1578,0.0544,3.3, Wolfgang:0.45;  Weiss:0.35;  Nobel:0.28
jspace_v3,Ludwig van Beethoven,subject_all,6-20,19,5, Beethoven,10,1,0,0.0826,0.0083,0.1349,0.0627,-0.8,")**:0.19; )...

:0.15; ?)

:0.15"
jspace_v3,Ludwig van Beethoven,subject_all,6-20,20,5, Beethoven,10,1,0,0.1213,0.0121,0.1227,0.0448,-0.0, contact:0.30;  receives:0.20;  drops:0.18
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-13,9,5,us,10,2,0,0.2979,0.0596,0.5967,0.0714,-4.2, Wolf:0.32;  Rudolf:0.27;  Spitz:0.25
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-13,9,6, Mozart,10,1,0,0.1735,0.0173,0.1499,0.0517,0.5,itive:0.14; puter:0.14; ience:0.12
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-13,10,5,us,10,2,0,0.5133,0.1027,0.5543,0.0509,-0.8,sam:0.83; spar:0.79; dop:0.78
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-13,10,6, Mozart,10,1,0,0.2485,0.0248,0.1591,0.0595,1.5, scientist:0.36;  seventy:0.26;  wishing:0.20
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-13,11,5,us,10,2,0,0.4597,0.0919,0.5258,0.073,-0.9, laboratories:0.31; -USA:0.29;  Chemical:0.23
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-13,11,6, Mozart,10,1,0,0.2106,0.0211,0.1579,0.0516,1.0,PAD:0.32; Query:0.25; Encoder:0.20
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-13,12,5,us,10,2,0,0.5406,0.1081,0.5043,0.0712,0.5,namen:0.77; eners:0.71; belt:0.65
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-13,12,6, Mozart,10,1,0,0.1115,0.0112,0.1693,0.0641,-0.9, student's:0.17;  guessed:0.14;  crossword:0.08
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-13,13,5,us,10,2,0,0.329,0.0658,0.5007,0.0527,-3.3,-USA:0.28; -Air:0.27;  Aircraft:0.17
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-13,13,6, Mozart,10,1,0,0.1333,0.0133,0.1268,0.043,0.2," Famous:0.28; Favorite:0.11; ’
:0.10"
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-17,9,5,us,10,2,0,0.2979,0.0596,0.5967,0.0714,-4.2, Wolf:0.32;  Rudolf:0.27;  Spitz:0.25
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-17,9,6, Mozart,10,1,0,0.1735,0.0173,0.1499,0.0517,0.5,itive:0.14; puter:0.14; ience:0.12
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-17,10,5,us,10,2,0,0.5133,0.1027,0.5543,0.0509,-0.8,sam:0.83; spar:0.79; dop:0.78
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-17,10,6, Mozart,10,1,0,0.2485,0.0248,0.1591,0.0595,1.5, scientist:0.36;  seventy:0.26;  wishing:0.20
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-17,11,5,us,10,2,0,0.4597,0.0919,0.5258,0.073,-0.9, laboratories:0.31; -USA:0.29;  Chemical:0.23
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-17,11,6, Mozart,10,1,0,0.2106,0.0211,0.1579,0.0516,1.0,PAD:0.32; Query:0.25; Encoder:0.20
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-17,12,5,us,10,2,0,0.5406,0.1081,0.5043,0.0712,0.5,namen:0.77; eners:0.71; belt:0.65
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-17,12,6, Mozart,10,1,0,0.1115,0.0112,0.1693,0.0641,-0.9, student's:0.17;  guessed:0.14;  crossword:0.08
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-17,13,5,us,10,2,0,0.329,0.0658,0.5007,0.0527,-3.3,-USA:0.28; -Air:0.27;  Aircraft:0.17
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-17,13,6, Mozart,10,1,0,0.1333,0.0133,0.1268,0.043,0.2," Famous:0.28; Favorite:0.11; ’
:0.10"
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-17,14,5,us,10,2,0,0.4574,0.0915,0.48,0.0613,-0.4,bard:0.64;  approximate:0.52;  harmonic:0.38
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-17,14,6, Mozart,10,1,0,0.1004,0.01,0.1291,0.0408,-0.7, Directed:0.12;  constraint:0.12;  restriction:0.09
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-17,15,5,us,10,2,0,0.2713,0.0543,0.4792,0.0546,-3.8,)은:0.44; **):0.44; )는:0.42
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-17,15,6, Mozart,10,1,0,0.1343,0.0134,0.17,0.0746,-0.5,dial:0.21; yme:0.21; vind:0.16
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-17,16,5,us,10,2,0,0.3408,0.0682,0.4678,0.0659,-1.9, Armstrong:0.38;  Kand:0.31;  Silber:0.27
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-17,16,6, Mozart,10,1,0,0.0567,0.0057,0.1685,0.0548,-2.0, COVID:0.13;  BCE:0.10;  accelerator:0.10
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-17,17,5,us,10,2,0,0.4397,0.0879,0.4639,0.0581,-0.4,today:0.81; Team:0.69; Member:0.63
jspace_v3,Wolfgang Amadeus Mozart,subject_all,9-17,17,6, Mozart,10,1,0,0.1426,0.0143,0.1621,0.0607,-0.3,ife:0.12; dad:0.11; bard:0.08
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,6,5,us,10,2,0,0.4428,0.0886,0.6425,0.0467,-4.3, Kiel:0.49;  Wolf:0.43;  Armen:0.34
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,6,6, Mozart,10,1,0,0.0911,0.0091,0.1763,0.0487,-1.8,"etic:0.12;  wishing:0.11; ,“:0.10"
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,7,5,us,10,2,0,0.7635,0.1527,0.607,0.0576,2.7,i:0.82; iata:0.66; s:0.52
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,7,6, Mozart,10,1,0,0.2153,0.0215,0.1829,0.0472,0.7, Target:0.22;  Scientist:0.18;  Site:0.15
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,8,5,us,10,2,0,0.459,0.0918,0.6293,0.0542,-3.1, International:0.36;  Fellowship:0.36;  laboratory:0.30
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,8,6, Mozart,10,1,0,0.1595,0.016,0.1705,0.0636,-0.2,elite:0.13; bow:0.10; world:0.10
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,9,5,us,10,2,0,0.5831,0.1166,0.5967,0.0714,-0.2,dice:0.77; dad:0.77; dop:0.76
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,9,6, Mozart,10,1,0,0.2004,0.02,0.1499,0.0517,1.0, scientist:0.35;  scientific:0.21;  student's:0.17
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,10,5,us,10,2,0,0.5039,0.1008,0.5543,0.0509,-1.0, identified:0.49;  Europe's:0.47;  International:0.47
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,10,6, Mozart,9,1,0,0.1035,0.0115,0.1249,0.0578,-0.4,ICA:0.19; �信:0.19; XPath:0.18
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,11,5,us,10,2,0,0.5901,0.118,0.5258,0.073,0.9,nut:0.79; dna:0.78; diet:0.78
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,11,6, Mozart,10,1,0,0.2525,0.0252,0.1579,0.0516,1.8, Wikipedia:0.37;  Nobel:0.35;  Titanic:0.29
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,12,5,us,10,2,0,0.3553,0.0711,0.5043,0.0712,-2.1, individual's:0.53;  infiltration:0.45;  collaborator:0.43
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,12,6, Mozart,9,1,0,0.1607,0.0179,0.1503,0.0525,0.2,Encrypt:0.26; �信:0.21; XPath:0.20
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,13,5,us,10,2,0,0.5889,0.1178,0.5007,0.0527,1.7,dir:0.83; names:0.83; nam:0.82
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,13,6, Mozart,10,1,0,0.2644,0.0264,0.1268,0.043,3.2, Celebrity:0.38;  Heathrow:0.31;  Olympic:0.30
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,14,5,us,10,2,0,0.283,0.0566,0.48,0.0613,-3.2,"�

:0.34;  Death:0.24;  Germ:0.18"
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,14,6, Mozart,10,1,0,0.1262,0.0126,0.1291,0.0408,-0.1,ECD:0.27; AES:0.24; Encrypt:0.23
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,15,5,us,10,2,0,0.4457,0.0891,0.4792,0.0546,-0.6,"mea:0.75; bard:0.62; )"",
:0.43"
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,15,6, Mozart,10,1,0,0.1328,0.0133,0.17,0.0746,-0.5, attribute:0.19;  encyclopedia:0.18;  acceler:0.13
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,16,5,us,10,2,0,0.3297,0.0659,0.4678,0.0659,-2.1, Europe's:0.50;  recorded:0.47;  menu:0.41
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,16,6, Mozart,10,1,0,0.2068,0.0207,0.1685,0.0548,0.7,nut:0.21; diet:0.16; dyn:0.15
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,17,5,us,10,2,0,0.5172,0.1034,0.4639,0.0581,0.9,dir:0.84; nam:0.83; nut:0.81
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,17,6, Mozart,10,1,0,0.2722,0.0272,0.1621,0.0607,1.8, Nobel:0.36;  World:0.20;  Parameter:0.16
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,18,5,us,10,2,0,0.1976,0.0395,0.474,0.0764,-3.6, University's:0.32;  Stern:0.29;  Pellet:0.28
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,18,6, Mozart,10,1,0,0.1234,0.0123,0.1321,0.0427,-0.2,lauf:0.18; lut:0.16; worth:0.13
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,19,5,us,10,2,0,0.4348,0.087,0.4273,0.0593,0.1,dh:0.80; dg:0.77; kil:0.75
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,19,6, Mozart,10,1,0,0.0984,0.0098,0.1286,0.0498,-0.6,".

//:0.20;  encryption:0.18; .
//:0.18"
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,20,5,us,10,2,0,0.3234,0.0647,0.2862,0.0444,0.8, processed:0.38;  retrieved:0.37;  collaborators:0.33
jspace_v3,Wolfgang Amadeus Mozart,subject_all,6-20,20,6, Mozart,10,1,0,0.0635,0.0064,0.0881,0.0368,-0.7,atz:0.14; enthal:0.12; enz:0.09
