event_id,run_id,environment,condition,objective_status,event_type,layer,train_rollouts_in_fold,cv_projection,cv_cosine,effect_norm
impossiblebench__binary_no_rules__s92345__step_08__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,11,18,120.7121640318245,0.233703579972126,516.5182495117188
impossiblebench__binary_no_rules__s92345__step_08__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,12,18,131.7941967571321,0.21670068268975118,608.1854248046875
impossiblebench__binary_no_rules__s92345__step_08__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,13,18,182.88093839177782,0.23146463664573622,790.1031494140625
impossiblebench__binary_no_rules__s92345__step_08__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,14,18,155.99734184327008,0.16015962499797984,974.0115966796875
impossiblebench__binary_no_rules__s92345__step_08__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,15,18,185.18347876185635,0.15104002549790949,1226.0556640625
impossiblebench__binary_no_rules__s92345__step_08__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,16,18,146.79291687531804,0.08725748327634253,1682.2960205078125
impossiblebench__binary_no_rules__s92345__step_08__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,17,18,123.9003020572145,0.05398618103858716,2295.037353515625
impossiblebench__binary_no_rules__s92345__step_08__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,18,18,220.5188531979511,0.07181833151428174,3070.50927734375
impossiblebench__binary_no_rules__s92345__step_08__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,19,18,408.47713640225993,0.10021247628385266,4076.110595703125
impossiblebench__binary_no_rules__s92345__step_08__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,20,18,576.682861638903,0.11302688341802743,5102.17431640625
impossiblebench__binary_no_rules__s92345__step_08__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,21,18,683.3940217138479,0.11261785635964373,6068.255859375
impossiblebench__binary_no_rules__s92345__step_08__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,22,18,791.3075999052771,0.11259525827922934,7027.89501953125
impossiblebench__binary_no_rules__s92346__step_04__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,strategy_selection,0,18,-19.90270079172327,-0.22814130736490362,87.23847961425781
impossiblebench__binary_no_rules__s92346__step_04__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,strategy_selection,1,18,-36.04710280085967,-0.36565679186892835,98.58179473876953
impossiblebench__binary_no_rules__s92346__step_04__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,strategy_selection,2,18,-33.89507684498693,-0.2899974198203764,116.88062286376953
impossiblebench__binary_no_rules__s92346__step_04__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,strategy_selection,3,18,-45.24908041961476,-0.3276186049778062,138.1151123046875
impossiblebench__binary_no_rules__s92346__step_04__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,strategy_selection,4,18,-35.81247801783114,-0.21338380578514715,167.83128356933594
impossiblebench__binary_no_rules__s92346__step_04__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,strategy_selection,5,18,-37.22714170244376,-0.17516384621071807,212.5275421142578
impossiblebench__binary_no_rules__s92346__step_04__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,strategy_selection,6,18,-21.753487330278944,-0.08659078863546661,251.2217254638672
impossiblebench__binary_no_rules__s92346__step_04__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,strategy_selection,7,18,-29.678546644108962,-0.10098493298790967,293.8908386230469
impossiblebench__binary_no_rules__s92346__step_04__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,strategy_selection,8,18,-6.925870446340468,-0.019880836250880236,348.3691711425781
impossiblebench__binary_no_rules__s92346__step_04__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,strategy_selection,9,18,17.245807814408877,0.041136648079396536,419.2322082519531
impossiblebench__binary_no_rules__s92346__step_04__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,strategy_selection,10,18,50.66592554280578,0.09883977836801174,512.6066284179688
impossiblebench__binary_no_rules__s92346__step_04__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,strategy_selection,11,18,58.319950022863395,0.09287922439208685,627.9116821289062
impossiblebench__binary_no_rules__s92346__step_04__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,strategy_selection,12,18,126.61489549953001,0.1586746396334049,797.9530029296875
impossiblebench__binary_no_rules__s92346__step_04__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,strategy_selection,13,18,137.09323467846843,0.14030657553819578,977.0977172851562
impossiblebench__binary_no_rules__s92346__step_04__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,strategy_selection,14,18,166.9314236091468,0.14365851603737306,1162.0015869140625
impossiblebench__binary_no_rules__s92346__step_04__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,strategy_selection,15,18,202.74702393509688,0.13632362200923737,1487.2479248046875
impossiblebench__binary_no_rules__s92346__step_04__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,strategy_selection,16,18,152.3033316963042,0.08162777664561233,1865.8272705078125
impossiblebench__binary_no_rules__s92346__step_04__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,strategy_selection,17,18,249.24162855810073,0.09104450698984089,2737.580322265625
impossiblebench__binary_no_rules__s92346__step_04__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,strategy_selection,18,18,197.03774853516734,0.05264157820904948,3743.006103515625
impossiblebench__binary_no_rules__s92346__step_04__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,strategy_selection,19,18,107.35907485129428,0.02094517273780563,5125.71923828125
impossiblebench__binary_no_rules__s92346__step_04__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,strategy_selection,20,18,150.48479490267027,0.02337765126386127,6437.12158203125
impossiblebench__binary_no_rules__s92346__step_04__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,strategy_selection,21,18,146.23813937878504,0.01899435345578208,7699.0322265625
impossiblebench__binary_no_rules__s92346__step_04__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,strategy_selection,22,18,195.6707291774759,0.022267889574516794,8787.125
impossiblebench__binary_no_rules__s92346__step_06__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,failure_diagnosis,0,18,4.530391751707207,0.05409246083604745,83.75273895263672
impossiblebench__binary_no_rules__s92346__step_06__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,failure_diagnosis,1,18,0.24761605939285047,0.0027265653960242696,90.81610870361328
impossiblebench__binary_no_rules__s92346__step_06__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,failure_diagnosis,2,18,-2.3362361091178556,-0.021091625653745772,110.76605987548828
impossiblebench__binary_no_rules__s92346__step_06__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,failure_diagnosis,3,18,-13.997601186070035,-0.10879947408524518,128.65504455566406
impossiblebench__binary_no_rules__s92346__step_06__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,failure_diagnosis,4,18,-4.796222766223309,-0.031560322735574235,151.9700164794922
impossiblebench__binary_no_rules__s92346__step_06__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,failure_diagnosis,5,18,-14.897543956212203,-0.0826031559213297,180.3507843017578
impossiblebench__binary_no_rules__s92346__step_06__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,failure_diagnosis,6,18,-33.28294726094782,-0.15464763161759137,215.21795654296875
impossiblebench__binary_no_rules__s92346__step_06__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,failure_diagnosis,7,18,-33.46192027913219,-0.1299115298601804,257.5746765136719
impossiblebench__binary_no_rules__s92346__step_06__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,failure_diagnosis,8,18,-26.4620472387968,-0.08534936046384223,310.04388427734375
impossiblebench__binary_no_rules__s92346__step_06__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,failure_diagnosis,9,18,-36.668838866930855,-0.09813584669509366,373.6539001464844
impossiblebench__binary_no_rules__s92346__step_06__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,failure_diagnosis,10,18,-17.47915538528082,-0.03969572848416362,440.328369140625
impossiblebench__binary_no_rules__s92346__step_06__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,failure_diagnosis,11,18,-48.63168655256413,-0.09512648186859703,511.2318420410156
impossiblebench__binary_no_rules__s92346__step_06__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,failure_diagnosis,12,18,-34.16548398666832,-0.05405279016641119,632.0762329101562
impossiblebench__binary_no_rules__s92346__step_06__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,failure_diagnosis,13,18,-30.645881967347577,-0.03707835130846832,826.516845703125
impossiblebench__binary_no_rules__s92346__step_06__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,failure_diagnosis,14,18,50.11204743905,0.04820838698018065,1039.488037109375
impossiblebench__binary_no_rules__s92346__step_06__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,failure_diagnosis,15,18,56.480404695689685,0.044236551324449695,1276.7813720703125
impossiblebench__binary_no_rules__s92346__step_06__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,failure_diagnosis,16,18,135.08608188631183,0.08124419151848344,1662.716796875
impossiblebench__binary_no_rules__s92346__step_06__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,failure_diagnosis,17,18,215.24979931840062,0.09539741309412786,2256.348388671875
impossiblebench__binary_no_rules__s92346__step_06__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,failure_diagnosis,18,18,454.73450165600207,0.15256001157047627,2980.692626953125
impossiblebench__binary_no_rules__s92346__step_06__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,failure_diagnosis,19,18,490.6266691975179,0.13122599552484268,3738.791748046875
impossiblebench__binary_no_rules__s92346__step_06__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,failure_diagnosis,20,18,803.1459235070624,0.15731627900287565,5105.29443359375
impossiblebench__binary_no_rules__s92346__step_06__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,failure_diagnosis,21,18,881.9714390987792,0.145611022695328,6057.0380859375
impossiblebench__binary_no_rules__s92346__step_06__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,correct,failure_diagnosis,22,18,873.2428621411701,0.12300272090454638,7099.37841796875
impossiblebench__binary_no_rules__s92346__step_08__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,0,18,21.67011479166758,0.2655666766653567,81.59952545166016
impossiblebench__binary_no_rules__s92346__step_08__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,1,18,30.063210823100253,0.3268981089094307,91.96508026123047
impossiblebench__binary_no_rules__s92346__step_08__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,2,18,27.719412019385416,0.2605195716864228,106.40049743652344
impossiblebench__binary_no_rules__s92346__step_08__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,3,18,49.81559419071969,0.36982532421255787,134.70033264160156
impossiblebench__binary_no_rules__s92346__step_08__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,4,18,42.97089616779337,0.27831789068232177,154.39500427246094
impossiblebench__binary_no_rules__s92346__step_08__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,5,18,38.91135342886162,0.2178541391832955,178.61195373535156
impossiblebench__binary_no_rules__s92346__step_08__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,6,18,38.58927328068913,0.1792471405693599,215.28529357910156
impossiblebench__binary_no_rules__s92346__step_08__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,7,18,46.085666955774684,0.18578490479029036,248.0592498779297
impossiblebench__binary_no_rules__s92346__step_08__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,8,18,49.042188538806414,0.17214445329090305,284.8897399902344
impossiblebench__binary_no_rules__s92346__step_08__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,9,18,66.50923567458369,0.2032480936605384,327.2317810058594
impossiblebench__binary_no_rules__s92346__step_08__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,10,18,55.68162768879711,0.14850384613559298,374.95074462890625
impossiblebench__binary_no_rules__s92346__step_08__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,11,18,49.059859810160106,0.10738283969441365,456.86871337890625
impossiblebench__binary_no_rules__s92346__step_08__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,12,18,58.96880746396846,0.09831641019936302,599.7860107421875
impossiblebench__binary_no_rules__s92346__step_08__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,13,18,80.8728512850721,0.10795891559249542,749.1076049804688
impossiblebench__binary_no_rules__s92346__step_08__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,14,18,123.97924987587612,0.12956170339493903,956.9127807617188
impossiblebench__binary_no_rules__s92346__step_08__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,15,18,163.49127846751253,0.12967945114335208,1260.7340087890625
impossiblebench__binary_no_rules__s92346__step_08__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,16,18,311.09418801880383,0.15281853144253535,2035.7098388671875
impossiblebench__binary_no_rules__s92346__step_08__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,17,18,426.25692731103004,0.14431747793914657,2953.605712890625
impossiblebench__binary_no_rules__s92346__step_08__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,18,18,694.2329456893349,0.17375405970800928,3995.491943359375
impossiblebench__binary_no_rules__s92346__step_08__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,19,18,986.9651238582956,0.19214078876137097,5136.6767578125
impossiblebench__binary_no_rules__s92346__step_08__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,20,18,1149.1517494010805,0.17841699981732817,6440.81982421875
impossiblebench__binary_no_rules__s92346__step_08__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,21,18,1207.5788097050054,0.16491760574569614,7322.31640625
impossiblebench__binary_no_rules__s92346__step_08__event_01,impossiblebench__binary_no_rules__s92346,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,22,18,1322.786697893355,0.15454681296235057,8559.1328125
impossiblebench__binary_rules__s102345__step_03__event_01,impossiblebench__binary_rules__s102345,impossiblebench,binary_rules,correct,strategy_selection,0,18,34.23712954443531,0.35271374775744085,97.0677490234375
impossiblebench__binary_rules__s102345__step_03__event_01,impossiblebench__binary_rules__s102345,impossiblebench,binary_rules,correct,strategy_selection,1,18,27.520878470920888,0.24708012141204233,111.38443756103516
impossiblebench__binary_rules__s102345__step_03__event_01,impossiblebench__binary_rules__s102345,impossiblebench,binary_rules,correct,strategy_selection,2,18,33.5623989557486,0.2605245084561159,128.82626342773438
impossiblebench__binary_rules__s102345__step_03__event_01,impossiblebench__binary_rules__s102345,impossiblebench,binary_rules,correct,strategy_selection,3,18,38.96634158299534,0.25651093072474035,151.90908813476562
impossiblebench__binary_rules__s102345__step_03__event_01,impossiblebench__binary_rules__s102345,impossiblebench,binary_rules,correct,strategy_selection,4,18,47.72975368402865,0.26754337997439376,178.40005493164062
impossiblebench__binary_rules__s102345__step_03__event_01,impossiblebench__binary_rules__s102345,impossiblebench,binary_rules,correct,strategy_selection,5,18,51.440469959215704,0.23715468064600403,216.90684509277344
impossiblebench__binary_rules__s102345__step_03__event_01,impossiblebench__binary_rules__s102345,impossiblebench,binary_rules,correct,strategy_selection,6,18,63.6842751818399,0.24141406217128197,263.796875
impossiblebench__binary_rules__s102345__step_03__event_01,impossiblebench__binary_rules__s102345,impossiblebench,binary_rules,correct,strategy_selection,7,18,58.207660851343746,0.1869306743109166,311.3863220214844
impossiblebench__binary_rules__s102345__step_03__event_01,impossiblebench__binary_rules__s102345,impossiblebench,binary_rules,correct,strategy_selection,8,18,65.56933383215846,0.17405698279316292,376.7118835449219
impossiblebench__binary_rules__s102345__step_03__event_01,impossiblebench__binary_rules__s102345,impossiblebench,binary_rules,correct,strategy_selection,9,18,59.82992141020651,0.13343902679829112,448.3689880371094
impossiblebench__binary_rules__s102345__step_03__event_01,impossiblebench__binary_rules__s102345,impossiblebench,binary_rules,correct,strategy_selection,10,18,118.92482146227053,0.2078127369559617,572.2691040039062
impossiblebench__binary_rules__s102345__step_03__event_01,impossiblebench__binary_rules__s102345,impossiblebench,binary_rules,correct,strategy_selection,11,18,110.63163198233542,0.1663345483862652,665.1151733398438
impossiblebench__binary_rules__s102345__step_03__event_01,impossiblebench__binary_rules__s102345,impossiblebench,binary_rules,correct,strategy_selection,12,18,137.1822571315497,0.1660730233219059,826.0357666015625
impossiblebench__binary_rules__s102345__step_03__event_01,impossiblebench__binary_rules__s102345,impossiblebench,binary_rules,correct,strategy_selection,13,18,170.0131139016412,0.16444469766646252,1033.8619384765625
impossiblebench__binary_rules__s102345__step_03__event_01,impossiblebench__binary_rules__s102345,impossiblebench,binary_rules,correct,strategy_selection,14,18,215.9212950761821,0.1689402362360989,1278.0927734375
impossiblebench__binary_rules__s102345__step_03__event_01,impossiblebench__binary_rules__s102345,impossiblebench,binary_rules,correct,strategy_selection,15,18,207.98552942323658,0.13142454142924953,1582.547119140625
impossiblebench__binary_rules__s102345__step_03__event_01,impossiblebench__binary_rules__s102345,impossiblebench,binary_rules,correct,strategy_selection,16,18,305.86393045169825,0.1479526156128494,2067.31005859375
impossiblebench__binary_rules__s102345__step_03__event_01,impossiblebench__binary_rules__s102345,impossiblebench,binary_rules,correct,strategy_selection,17,18,440.8864989362046,0.15742142899544395,2800.676513671875
impossiblebench__binary_rules__s102345__step_03__event_01,impossiblebench__binary_rules__s102345,impossiblebench,binary_rules,correct,strategy_selection,18,18,699.1555684433115,0.1827076938019429,3826.634521484375
impossiblebench__binary_rules__s102345__step_03__event_01,impossiblebench__binary_rules__s102345,impossiblebench,binary_rules,correct,strategy_selection,19,18,612.0456827895614,0.12123737261574623,5048.3251953125
impossiblebench__binary_rules__s102345__step_03__event_01,impossiblebench__binary_rules__s102345,impossiblebench,binary_rules,correct,strategy_selection,20,18,1000.0218856801221,0.16199174792491294,6173.2890625
impossiblebench__binary_rules__s102345__step_03__event_01,impossiblebench__binary_rules__s102345,impossiblebench,binary_rules,correct,strategy_selection,21,18,1055.9160810486064,0.14169790990999587,7451.8818359375
