subject,relation,prompt,position_mode,ablated_positions,band,condition,replicate,greedy_span,content_token,content_index,span_logp_clean,span_logp_cond,delta_span_logp,content_logp_clean,content_logp_cond,delta_content_logp,rank_content_under_cond,content_top1_changed,content_top1_cond,kl_first_token
Abraham Lincoln,birth_city,Abraham Lincoln was born in the city of,subject_all,1 2 3,9-17,jspace,0, Springfield, Springfield,0,-0.6664,-3.0303,-2.3639,-0.6664,-3.0303,-2.3639,2,1, New,1.0436
Abraham Lincoln,birth_city,Abraham Lincoln was born in the city of,subject_all,1 2 3,6-20,jspace,0, Springfield, Springfield,0,-0.6664,-5.2722,-4.6058,-0.6664,-5.2722,-4.6058,27,1, New,2.3724
Abraham Lincoln,birth_city,Abraham Lincoln was born in the city of,subject_last,3,9-13,jspace,0, Springfield, Springfield,0,-0.6664,-2.3888,-1.7224,-0.6664,-2.3888,-1.7224,1,0, Springfield,0.6599
Abraham Lincoln,birth_city,Abraham Lincoln was born in the city of,subject_last,3,9-17,jspace,0, Springfield, Springfield,0,-0.6664,-2.8491,-2.1827,-0.6664,-2.8491,-2.1827,2,1, New,0.9312
Abraham Lincoln,birth_city,Abraham Lincoln was born in the city of,subject_last,3,6-20,jspace,0, Springfield, Springfield,0,-0.6664,-3.5598,-2.8934,-0.6664,-3.5598,-2.8934,4,1, New,1.3747
Wolfgang Amadeus Mozart,birth_city,Wolfgang Amadeus Mozart was born in the city of,subject_all,1 2 3 4 5 6,9-13,jspace,0, Salzburg, Salzburg,0,-0.1815,-0.4106,-0.2291,-0.1815,-0.4106,-0.2291,1,0, Salzburg,0.1348
Wolfgang Amadeus Mozart,birth_city,Wolfgang Amadeus Mozart was born in the city of,subject_all,1 2 3 4 5 6,9-17,jspace,0, Salzburg, Salzburg,0,-0.1815,-0.8554,-0.6739,-0.1815,-0.8554,-0.6739,1,0, Salzburg,0.4598
Wolfgang Amadeus Mozart,birth_city,Wolfgang Amadeus Mozart was born in the city of,subject_all,1 2 3 4 5 6,6-20,jspace,0, Salzburg, Salzburg,0,-0.1815,-3.0175,-2.836,-0.1815,-3.0175,-2.836,1,0, Salzburg,2.2687
Wolfgang Amadeus Mozart,birth_city,Wolfgang Amadeus Mozart was born in the city of,subject_last,6,9-13,jspace,0, Salzburg, Salzburg,0,-0.1815,-0.3056,-0.1241,-0.1815,-0.3056,-0.1241,1,0, Salzburg,0.0657
Wolfgang Amadeus Mozart,birth_city,Wolfgang Amadeus Mozart was born in the city of,subject_last,6,9-17,jspace,0, Salzburg, Salzburg,0,-0.1815,-0.8253,-0.6439,-0.1815,-0.8253,-0.6439,1,0, Salzburg,0.4072
Wolfgang Amadeus Mozart,birth_city,Wolfgang Amadeus Mozart was born in the city of,subject_last,6,6-20,jspace,0, Salzburg, Salzburg,0,-0.1815,-1.5092,-1.3277,-0.1815,-1.5092,-1.3277,1,0, Salzburg,0.9909
Nelson Mandela,birth_city,Nelson Mandela was born in the city of,subject_all,1 2 3,9-13,jspace,0, Johannesburg, Johannesburg,0,-1.4777,-1.8937,-0.416,-1.4777,-1.8937,-0.416,1,0, Johannesburg,0.3153
Nelson Mandela,birth_city,Nelson Mandela was born in the city of,subject_all,1 2 3,9-17,jspace,0, Johannesburg, Johannesburg,0,-1.4777,-2.7954,-1.3176,-1.4777,-2.7954,-1.3176,2,1, Pretoria,0.5096
Nelson Mandela,birth_city,Nelson Mandela was born in the city of,subject_all,1 2 3,6-20,jspace,0, Johannesburg, Johannesburg,0,-1.4777,-3.8679,-2.3902,-1.4777,-3.8679,-2.3902,6,1, Pretoria,0.737
Nelson Mandela,birth_city,Nelson Mandela was born in the city of,subject_last,3,9-13,jspace,0, Johannesburg, Johannesburg,0,-1.4777,-1.6626,-0.1849,-1.4777,-1.6626,-0.1849,1,0, Johannesburg,0.242
Nelson Mandela,birth_city,Nelson Mandela was born in the city of,subject_last,3,9-17,jspace,0, Johannesburg, Johannesburg,0,-1.4777,-1.9227,-0.445,-1.4777,-1.9227,-0.445,1,0, Johannesburg,0.3228
Nelson Mandela,birth_city,Nelson Mandela was born in the city of,subject_last,3,6-20,jspace,0, Johannesburg, Johannesburg,0,-1.4777,-2.663,-1.1852,-1.4777,-2.663,-1.1852,1,1, Blo,0.4223
Winston Churchill,birth_city,Winston Churchill was born in the city of,subject_all,1 2 3,9-13,jspace,0, Bl, Bl,0,-2.6302,-7.6904,-5.0602,-2.6302,-7.6904,-5.0602,262,1, London,0.7539
Winston Churchill,birth_city,Winston Churchill was born in the city of,subject_all,1 2 3,9-17,jspace,0, Bl, Bl,0,-2.6302,-6.8511,-4.2208,-2.6302,-6.8511,-4.2208,117,1, London,0.9284
Winston Churchill,birth_city,Winston Churchill was born in the city of,subject_all,1 2 3,6-20,jspace,0, Bl, Bl,0,-2.6302,-12.0251,-9.3948,-2.6302,-12.0251,-9.3948,4907,1, H,2.3386
Winston Churchill,birth_city,Winston Churchill was born in the city of,subject_last,3,9-13,jspace,0, Bl, Bl,0,-2.6302,-6.6102,-3.9799,-2.6302,-6.6102,-3.9799,117,1, Birmingham,0.6558
Winston Churchill,birth_city,Winston Churchill was born in the city of,subject_last,3,9-17,jspace,0, Bl, Bl,0,-2.6302,-5.8185,-3.1883,-2.6302,-5.8185,-3.1883,56,1, London,0.6387
Winston Churchill,birth_city,Winston Churchill was born in the city of,subject_last,3,6-20,jspace,0, Bl, Bl,0,-2.6302,-5.0705,-2.4403,-2.6302,-5.0705,-2.4403,17,1, London,0.8695
